EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_AGE	FR_ÂGE	TOTAL
2015	Q2	Apr	2015	T2	avr.	British Columbia	Colombie-Britannique	0 to 14 years old	0 à 14 ans	455
2015	Q2	Apr	2015	T2	avr.	British Columbia	Colombie-Britannique	15 to 29 years old	15 à 29 ans	860
2015	Q2	Apr	2015	T2	avr.	British Columbia	Colombie-Britannique	30 to 44 years old	30 à 44 ans	1015
2015	Q2	Apr	2015	T2	avr.	British Columbia	Colombie-Britannique	45 to 59 years old	45 à 59 ans	285
2015	Q2	Apr	2015	T2	avr.	British Columbia	Colombie-Britannique	60 to 74 years old	60 à 74 ans	125
2015	Q2	Apr	2015	T2	avr.	British Columbia	Colombie-Britannique	75 years old or more	75 ans et plus	25
2015	Q2	Apr	2015	T2	avr.	Manitoba	Manitoba	0 to 14 years old	0 à 14 ans	300
2015	Q2	Apr	2015	T2	avr.	Manitoba	Manitoba	15 to 29 years old	15 à 29 ans	375
2015	Q2	Apr	2015	T2	avr.	Manitoba	Manitoba	30 to 44 years old	30 à 44 ans	455
2015	Q2	Apr	2015	T2	avr.	Manitoba	Manitoba	45 to 59 years old	45 à 59 ans	90
2015	Q2	Apr	2015	T2	avr.	Manitoba	Manitoba	60 to 74 years old	60 à 74 ans	20
2015	Q2	Apr	2015	T2	avr.	Manitoba	Manitoba	75 years old or more	75 ans et plus	--
2015	Q2	Apr	2015	T2	avr.	New Brunswick	Nouveau-Brunswick	0 to 14 years old	0 à 14 ans	30
2015	Q2	Apr	2015	T2	avr.	New Brunswick	Nouveau-Brunswick	15 to 29 years old	15 à 29 ans	40
2015	Q2	Apr	2015	T2	avr.	New Brunswick	Nouveau-Brunswick	30 to 44 years old	30 à 44 ans	75
2015	Q2	Apr	2015	T2	avr.	New Brunswick	Nouveau-Brunswick	45 to 59 years old	45 à 59 ans	25
2015	Q2	Apr	2015	T2	avr.	New Brunswick	Nouveau-Brunswick	60 to 74 years old	60 à 74 ans	--
2015	Q2	Apr	2015	T2	avr.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	0 to 14 years old	0 à 14 ans	20
2015	Q2	Apr	2015	T2	avr.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	15 to 29 years old	15 à 29 ans	25
2015	Q2	Apr	2015	T2	avr.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	30 to 44 years old	30 à 44 ans	40
2015	Q2	Apr	2015	T2	avr.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	45 to 59 years old	45 à 59 ans	10
2015	Q2	Apr	2015	T2	avr.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	60 to 74 years old	60 à 74 ans	--
2015	Q2	Apr	2015	T2	avr.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	75 years old or more	75 ans et plus	--
2015	Q2	Apr	2015	T2	avr.	Northwest Territories	Territoires du Nord-Ouest	0 to 14 years old	0 à 14 ans	--
2015	Q2	Apr	2015	T2	avr.	Northwest Territories	Territoires du Nord-Ouest	15 to 29 years old	15 à 29 ans	--
2015	Q2	Apr	2015	T2	avr.	Northwest Territories	Territoires du Nord-Ouest	30 to 44 years old	30 à 44 ans	5
2015	Q2	Apr	2015	T2	avr.	Northwest Territories	Territoires du Nord-Ouest	45 to 59 years old	45 à 59 ans	--
